v,k,t,layer,size,low_bd,schoenheim,gap,affine_count,"C(v,t)",last_improvement,years_stale,n_improvements
23,14,3,SEARCH,10,9,7,1,,1771,1996-11-14,29.3,1
25,14,3,SEARCH,12,11,8,1,,2300,2000-06-15,25.7,2
26,14,3,SEARCH,13,12,8,1,,2600,1996-11-14,29.3,1
27,14,3,SEARCH,14,13,12,1,,2925,1999-08-17,26.5,2
28,14,3,SEARCH,15,14,14,1,,3276,1996-11-14,29.3,1
40,14,3,SEARCH,39,38,35,1,,9880,2014-11-20,11.3,5
25,15,3,SEARCH,10,9,7,1,,2300,1996-11-14,29.3,1
28,15,3,SEARCH,13,12,8,1,,3276,2001-05-21,24.8,3
30,15,3,SEARCH,15,14,14,1,,4060,1996-11-14,29.3,1
27,16,3,SEARCH,10,9,7,1,,2925,2008-09-22,17.4,2
29,16,3,SEARCH,12,11,8,1,,3654,2004-07-26,21.6,3
30,16,3,SEARCH,13,12,8,1,,4060,1997-03-27,28.9,2
33,16,3,SEARCH,16,15,15,1,,5456,2010-02-05,16.1,4
28,17,3,SEARCH,10,9,7,1,,3276,2009-01-20,17.1,3
31,17,3,SEARCH,12,11,8,1,,4495,2012-05-29,13.8,3
34,17,3,SEARCH,15,14,14,1,,5984,2009-01-08,17.1,3
30,18,3,SEARCH,10,9,7,1,,4060,2009-01-20,17.1,3
34,18,3,SEARCH,13,12,8,1,,5984,2009-01-20,17.1,2
36,18,3,SEARCH,15,14,14,1,,7140,2016-05-10,9.8,4
35,19,3,SEARCH,13,12,8,1,,6545,2009-01-20,17.1,3
38,19,3,SEARCH,15,14,14,1,,8436,2009-01-10,17.1,2
33,20,3,SEARCH,10,9,7,1,,5456,2009-01-10,17.1,3
36,20,3,SEARCH,12,11,8,1,,7140,2016-05-10,9.8,4
37,20,3,SEARCH,13,12,8,1,,7770,2010-02-22,16.0,3
35,21,3,SEARCH,10,9,7,1,,6545,2009-01-22,17.1,2
39,21,3,SEARCH,13,12,8,1,,9139,2009-01-21,17.1,3
36,22,3,SEARCH,10,9,7,1,,7140,2016-05-10,9.8,2
40,22,3,SEARCH,12,11,8,1,,9880,2009-01-21,17.1,3
37,23,3,SEARCH,9,8,7,1,,7770,2009-01-11,17.1,1
38,23,3,SEARCH,10,9,7,1,,8436,2009-01-10,17.1,2
39,24,3,SEARCH,9,8,7,1,,9139,2009-01-10,17.1,2
40,24,3,SEARCH,10,9,7,1,,9880,2016-05-10,9.8,4
24,12,4,SEARCH,31,30,30,1,,10626,1996-11-14,29.3,1
20,13,4,SEARCH,15,14,11,1,,4845,2012-10-26,13.3,2
28,14,4,SEARCH,31,30,30,1,,20475,1996-11-14,29.3,1
22,15,4,SEARCH,12,11,9,1,,7315,1996-11-14,29.3,1
30,15,4,SEARCH,31,30,30,1,,27405,1996-11-14,29.3,1
23,16,4,SEARCH,11,10,8,1,,8855,1996-11-14,29.3,1
24,16,4,SEARCH,12,11,11,1,,10626,1996-11-14,29.3,1
25,17,4,SEARCH,11,10,9,1,,12650,2008-12-07,17.2,3
27,18,4,SEARCH,12,11,11,1,,17550,2009-01-21,17.1,3
34,18,4,SEARCH,28,27,23,1,,46376,2009-01-07,17.1,3
28,19,4,SEARCH,12,11,9,1,,20475,2009-01-21,17.1,3
29,20,4,SEARCH,11,10,8,1,,23751,2008-11-26,17.3,3
32,22,4,SEARCH,11,10,8,1,,35960,2008-12-13,17.2,2
34,23,4,SEARCH,12,11,9,1,,46376,2009-01-11,17.1,1
35,24,4,SEARCH,11,10,8,1,,52360,2009-01-11,17.1,1
36,24,4,SEARCH,12,11,11,1,,58905,2016-05-10,9.8,2
22,16,5,SEARCH,14,13,10,1,,26334,1996-11-14,29.3,1
22,17,5,SEARCH,11,10,8,1,,26334,2008-11-29,17.2,1
24,18,5,"CONSTR(32,18,5)",12,11,10,1,,42504,2009-01-21,17.1,2
26,19,5,SEARCH,14,13,10,1,,65780,2009-01-29,17.1,2
28,21,5,SEARCH,12,11,10,1,,98280,2008-12-29,17.2,1
29,21,5,SEARCH,14,13,10,1,,118755,2009-01-06,17.1,1
29,22,5,SEARCH,12,11,10,1,,118755,2009-01-22,17.1,1
30,23,5,SEARCH,11,10,8,1,,142506,2009-01-26,17.1,3
31,24,5,SEARCH,11,10,8,1,,169911,2009-01-31,17.1,2
32,24,5,SEARCH,12,11,10,1,,201376,2009-01-21,17.1,2
