v,k,t,size,low_bd,schoenheim,gap,gap_schoenheim,"C(v,t)","C(k,t)",last_improvement,years_stale,n_improvements,eligible,sweet
23,13,4,25,20,15,5,10,8855,715,2004-09-20,21.4,4,1,1
31,13,3,26,22,20,4,6,4495,286,2004-09-18,21.4,2,1,1
30,13,3,24,21,19,3,5,4060,286,2004-10-14,21.4,3,1,1
22,13,4,22,19,12,3,10,7315,715,2004-09-20,21.4,4,1,1
25,13,4,30,28,27,2,3,12650,715,2004-09-20,21.4,2,1,1
29,10,3,42,41,38,1,4,3654,120,2004-10-14,21.4,4,1,1
32,14,4,67,51,46,16,21,35960,1001,2005-05-05,20.8,4,1,1
29,11,3,33,29,24,4,9,3654,165,2005-05-16,20.8,5,1,1
32,13,3,29,25,20,4,9,4960,286,2005-05-16,20.8,4,1,1
28,10,3,36,34,34,2,2,3276,120,2005-05-05,20.8,3,1,1
27,11,3,27,25,20,2,7,2925,165,2005-05-11,20.8,5,1,1
20,11,3,12,11,8,1,4,1140,165,2005-05-16,20.8,3,1,1
25,12,4,47,38,34,9,13,12650,495,2005-06-12,20.7,4,1,1
26,7,3,94,86,78,8,16,2600,35,2005-06-12,20.7,7,1,1
22,7,3,59,54,44,5,15,1540,35,2005-07-01,20.7,5,1,1
23,14,4,20,15,12,5,8,8855,1001,2005-06-12,20.7,3,1,1
26,15,4,24,20,14,4,10,14950,1365,2005-06-12,20.7,4,1,1
23,11,5,131,99,88,32,43,33649,462,2005-07-25,20.6,10,1,1
25,5,3,256,240,240,16,16,2300,10,2005-10-27,20.3,3,1,1
27,8,4,350,291,264,59,86,17550,70,2005-12-12,20.2,11,1,1
25,8,4,263,216,216,47,47,12650,70,2005-12-12,20.2,7,1,1
29,13,5,218,132,105,86,113,118755,1287,2006-02-24,20.0,12,1,1
30,14,5,162,101,93,61,69,142506,2002,2006-02-24,20.0,4,1,1
29,14,5,137,81,81,56,56,118755,2002,2006-02-24,20.0,5,1,1
27,13,5,125,88,88,37,37,80730,1287,2006-02-24,20.0,10,1,1
21,10,5,145,114,91,31,54,20349,252,2006-02-24,20.0,6,1,1
22,13,5,48,34,24,14,24,26334,1287,2006-02-24,20.0,6,1,1
20,9,4,63,54,43,9,20,4845,126,2006-04-11,19.9,5,1,1
20,6,3,71,64,64,7,7,1140,20,2006-04-11,19.9,3,1,1
28,11,5,424,263,263,161,161,98280,462,2006-05-02,19.8,19,1,1
27,11,5,354,219,219,135,135,80730,462,2006-05-02,19.8,7,1,1
27,12,5,208,151,108,57,100,80730,792,2006-05-02,19.8,10,1,1
24,9,4,122,102,102,20,20,10626,126,2006-05-02,19.8,11,1,1
31,12,5,429,290,269,139,160,169911,792,2006-06-26,19.7,12,1,1
21,7,4,235,192,192,43,43,5985,35,2006-06-08,19.7,5,1,1
31,5,3,504,465,465,39,39,4495,10,2006-06-26,19.7,6,1,1
20,6,4,382,344,344,38,38,4845,15,2006-06-12,19.7,3,1,1
20,7,4,198,164,163,34,35,4845,35,2006-06-12,19.7,8,1,1
27,14,5,76,58,58,18,18,80730,2002,2006-06-26,19.7,4,1,1
28,14,5,88,72,68,16,20,98280,2002,2006-06-26,19.7,4,1,1
25,13,5,73,58,58,15,15,53130,1287,2006-06-26,19.7,6,1,1
32,7,3,165,143,142,22,23,4960,35,2007-02-08,19.1,4,1,1
32,7,4,1387,1135,1134,252,253,35960,35,2007-03-05,19.0,16,1,1
31,7,4,1122,930,908,192,214,31465,35,2007-03-05,19.0,13,1,1
27,15,5,57,45,42,12,15,80730,3003,2007-03-05,19.0,5,1,1
23,9,4,107,92,85,15,22,8855,126,2007-07-09,18.6,9,1,1
26,7,4,551,465,450,86,101,14950,35,2007-11-30,18.3,5,1,1
23,12,5,81,62,58,19,23,33649,792,2007-11-30,18.3,3,1,1
31,8,3,104,93,86,11,18,4495,56,2007-11-05,18.3,5,1,1
25,14,5,56,43,42,13,14,53130,2002,2007-12-11,18.2,5,1,1
26,12,4,51,42,42,9,9,14950,495,2007-12-06,18.2,2,1,1
26,14,5,60,52,51,8,9,65780,2002,2007-12-03,18.2,5,1,1
23,7,5,1948,1771,1771,177,177,33649,21,2008-02-05,18.1,19,1,1
20,7,5,980,852,852,128,128,15504,21,2008-02-05,18.1,7,1,1
21,5,4,1247,1197,1197,50,50,5985,5,2008-01-18,18.1,2,1,1
24,11,5,194,138,101,56,93,42504,462,2008-02-28,18.0,9,1,1
21,8,4,124,113,100,11,24,5985,70,2008-03-06,18.0,7,1,1
21,10,4,49,42,38,7,11,5985,210,2008-02-22,18.0,5,1,1
22,12,5,63,50,50,13,13,26334,792,2008-05-12,17.8,5,1,1
29,6,4,1802,1653,1653,149,149,23751,15,2008-07-02,17.7,2,1,1
27,7,4,635,502,502,133,133,17550,35,2008-07-02,17.7,3,1,1
28,7,4,793,668,668,125,125,20475,35,2008-07-02,17.7,8,1,1
30,13,5,252,157,130,95,122,142506,1287,2008-10-04,17.4,15,1,1
23,8,5,755,670,633,85,122,33649,56,2008-09-26,17.4,4,1,1
26,12,5,173,120,100,53,73,65780,792,2008-09-22,17.4,10,1,1
28,13,5,169,117,93,52,76,98280,1287,2008-09-26,17.4,15,1,1
28,10,4,154,110,110,44,44,20475,210,2008-10-01,17.4,6,1,1
29,10,4,186,145,128,41,58,23751,210,2008-09-26,17.4,7,1,1
26,10,4,118,89,89,29,29,14950,210,2008-09-22,17.4,6,1,1
26,13,5,102,76,68,26,34,65780,1287,2008-09-22,17.4,7,1,1
30,15,5,94,68,68,26,26,142506,3003,2008-09-22,17.4,6,1,1
29,11,4,115,90,90,25,25,23751,330,2008-09-22,17.4,10,1,1
27,11,4,95,72,59,23,36,17550,330,2008-09-22,17.4,8,1,1
30,12,4,96,73,60,23,36,27405,495,2008-09-22,17.4,5,1,1
28,11,4,104,84,84,20,20,20475,330,2008-09-22,17.4,8,1,1
24,10,4,87,70,56,17,31,10626,210,2008-09-22,17.4,8,1,1
25,10,4,97,80,80,17,17,12650,210,2008-09-22,17.4,10,1,1
28,12,4,76,59,47,17,29,20475,495,2008-09-22,17.4,3,1,1
24,13,5,66,50,50,16,16,42504,1287,2008-09-22,17.4,3,1,1
28,13,4,54,39,39,15,15,20475,715,2008-09-22,17.4,4,1,1
20,11,5,64,50,50,14,14,15504,462,2008-09-22,17.4,4,1,1
26,15,5,52,39,26,13,26,65780,3003,2008-09-22,17.4,4,1,1
28,16,5,52,39,27,13,25,98280,4368,2008-09-22,17.4,4,1,1
29,13,4,59,47,43,12,16,23751,715,2008-09-22,17.4,7,1,1
21,12,5,54,42,39,12,15,20349,792,2008-09-22,17.4,6,1,1
21,13,5,37,25,20,12,17,20349,1287,2008-09-22,17.4,2,1,1
24,15,5,36,24,20,12,16,42504,3003,2008-09-22,17.4,5,1,1
25,15,5,44,32,24,12,20,53130,3003,2008-09-22,17.4,2,1,1
27,16,5,46,34,24,12,22,80730,4368,2008-09-22,17.4,3,1,1
24,11,4,57,46,42,11,15,10626,330,2008-09-22,17.4,7,1,1
30,14,4,48,37,35,11,13,27405,1001,2008-09-22,17.4,4,1,1
23,13,5,54,43,39,11,15,33649,1287,2008-09-22,17.4,5,1,1
30,8,3,93,83,79,10,14,4060,56,2008-09-26,17.4,6,1,1
29,8,3,86,77,73,9,13,3654,56,2008-09-23,17.4,9,1,1
27,12,4,63,54,43,9,20,17550,495,2008-09-22,17.4,5,1,1
22,14,5,33,24,19,9,14,26334,2002,2008-09-22,17.4,2,1,1
25,16,5,32,24,19,8,13,53130,4368,2008-09-22,17.4,3,1,1
20,13,5,31,24,19,7,12,15504,1287,2008-09-22,17.4,3,1,1
23,15,5,29,23,17,6,12,33649,3003,2008-09-22,17.4,3,1,1
26,8,3,64,59,49,5,15,2600,56,2008-09-22,17.4,6,1,1
29,16,4,27,22,15,5,12,23751,1820,2008-09-22,17.4,4,1,1
27,8,3,69,65,65,4,4,2925,56,2008-09-22,17.4,8,1,1
25,14,4,26,22,15,4,11,12650,1001,2008-09-22,17.4,4,1,1
27,15,4,26,22,15,4,11,17550,1365,2008-09-22,17.4,4,1,1
28,8,3,73,70,70,3,3,3276,56,2008-09-22,17.4,6,1,1
28,11,3,31,28,23,3,8,3276,165,2008-09-22,17.4,4,1,1
23,7,3,65,63,63,2,2,1771,35,2008-09-26,17.4,7,1,1
27,10,3,35,33,33,2,2,2925,120,2008-09-22,17.4,3,1,1
22,9,3,28,27,20,1,8,1540,84,2008-09-18,17.4,5,1,1
27,16,3,10,9,7,1,3,2925,560,2008-09-22,17.4,2,1,1
33,9,3,80,74,74,6,6,5456,84,2008-11-17,17.3,1,1,1
30,20,4,13,11,11,2,2,27405,4845,2008-11-26,17.3,2,1,1
29,20,4,11,10,8,1,3,23751,4845,2008-11-26,17.3,3,1,1
33,8,4,785,590,586,195,199,40920,70,2008-11-30,17.2,2,1,1
55,7,3,969,779,778,190,191,26235,35,2008-12-05,17.2,1,1,1
54,6,3,1383,1251,1242,132,141,24804,20,2008-12-04,17.2,1,1,1
53,6,3,1313,1202,1202,111,111,23426,20,2008-12-29,17.2,1,1,1
53,7,3,830,727,727,103,103,23426,35,2008-12-05,17.2,1,1,1
49,7,3,657,560,560,97,97,18424,35,2008-12-05,17.2,2,1,1
37,6,3,473,401,401,72,72,7770,20,2008-12-19,17.2,2,1,1
34,5,3,689,619,619,70,70,5984,10,2009-01-01,17.2,4,1,1
42,6,3,644,574,574,70,70,11480,20,2008-12-04,17.2,1,1,1
36,5,3,821,756,756,65,65,7140,10,2009-01-01,17.2,4,1,1
34,6,3,364,306,301,58,63,5984,20,2008-12-19,17.2,4,1,1
40,6,3,574,520,520,54,54,9880,20,2008-12-23,17.2,3,1,1
43,6,3,716,667,667,49,49,12341,20,2008-12-04,17.2,1,1,1
33,6,3,333,286,286,47,47,5456,20,2008-12-04,17.2,3,1,1
39,6,3,539,494,494,45,45,9139,20,2008-12-04,17.2,2,1,1
36,6,3,420,378,378,42,42,7140,20,2008-12-19,17.2,3,1,1
40,8,3,231,195,195,36,36,9880,56,2008-12-06,17.2,1,1,1
35,7,3,233,200,200,33,33,6545,35,2008-12-05,17.2,1,1,1
36,16,4,62,48,43,14,19,58905,1820,2008-12-30,17.2,4,1,1
37,16,4,70,56,47,14,23,66045,1820,2008-12-30,17.2,1,1,1
49,8,3,350,337,337,13,13,18424,56,2008-11-30,17.2,1,1,1
32,17,5,62,53,53,9,9,201376,6188,2008-11-30,17.2,1,1,1
35,11,3,56,48,45,8,11,6545,165,2008-12-04,17.2,1,1,1
28,17,4,21,15,12,6,9,20475,2380,2008-12-22,17.2,3,1,1
26,17,5,26,20,17,6,9,65780,6188,2008-12-29,17.2,2,1,1
30,20,5,26,20,17,6,9,142506,15504,2008-12-18,17.2,2,1,1
27,17,4,18,15,12,3,6,17550,2380,2008-11-30,17.2,2,1,1
24,17,5,18,15,12,3,6,42504,6188,2008-12-29,17.2,2,1,1
33,17,5,62,59,59,3,3,237336,6188,2008-11-30,17.2,1,1,1
31,22,5,18,15,12,3,6,169911,26334,2009-01-03,17.2,1,1,1
40,21,3,14,12,8,2,6,9880,1330,2008-12-08,17.2,1,1,1
26,17,4,15,13,11,2,4,14950,2380,2008-12-07,17.2,2,1,1
33,17,4,30,28,28,2,2,40920,2380,2008-11-30,17.2,1,1,1
31,21,4,12,10,9,2,3,31465,5985,2008-12-18,17.2,3,1,1
25,18,5,16,14,12,2,4,53130,8568,2008-12-29,17.2,3,1,1
25,17,4,11,10,9,1,2,12650,2380,2008-12-07,17.2,3,1,1
32,22,4,11,10,8,1,3,35960,7315,2008-12-13,17.2,2,1,1
22,17,5,11,10,8,1,3,26334,6188,2008-11-29,17.2,1,1,1
28,21,5,12,11,10,1,2,98280,20349,2008-12-29,17.2,1,1,1
36,8,4,1284,900,900,384,384,58905,70,2009-01-12,17.1,2,1,1
46,16,5,755,380,380,375,375,1370754,4368,2009-01-21,17.1,1,1,1
33,7,4,1624,1259,1259,365,365,40920,35,2009-01-12,17.1,6,1,1
47,16,5,759,406,406,353,353,1533939,4368,2009-01-22,17.1,1,1,1
48,16,5,759,471,435,288,324,1712304,4368,2009-01-21,17.1,1,1,1
34,8,4,920,765,765,155,155,46376,70,2009-01-09,17.1,3,1,1
54,16,4,350,216,179,134,171,316251,1820,2009-01-21,17.1,8,1,1
44,14,4,252,167,148,85,104,135751,1001,2009-01-21,17.1,3,1,1
45,14,4,253,187,164,66,89,148995,1001,2009-01-13,17.1,4,1,1
46,14,4,253,207,171,46,82,163185,1001,2009-01-05,17.1,1,1,1
54,9,3,361,318,318,43,43,24804,84,2009-01-27,17.1,4,1,1
34,16,5,129,90,90,39,39,278256,4368,2009-02-03,17.1,5,1,1
53,8,3,480,444,444,36,36,23426,56,2009-01-14,17.1,4,1,1
58,22,4,115,80,66,35,49,424270,7315,2009-01-21,17.1,5,1,1
50,20,4,97,65,53,32,44,230300,4845,2009-01-21,17.1,4,1,1
48,18,4,122,91,67,31,55,194580,3060,2009-01-21,17.1,4,1,1
49,20,4,95,64,52,31,43,211876,4845,2009-02-04,17.1,6,1,1
54,22,4,95,64,52,31,43,316251,7315,2009-01-12,17.1,1,1,1
46,18,4,107,77,62,30,45,163185,3060,2009-01-12,17.1,2,1,1
56,22,4,104,74,62,30,42,367290,7315,2009-01-13,17.1,1,1,1
60,24,4,93,65,53,28,40,487635,10626,2009-01-13,17.1,1,1,1
48,20,4,87,60,48,27,39,194580,4845,2009-01-12,17.1,2,1,1
40,9,3,164,138,134,26,30,9880,84,2009-01-27,17.1,4,1,1
41,9,3,169,146,137,23,32,10660,84,2009-01-27,17.1,5,1,1
40,16,4,93,73,60,20,33,91390,1820,2009-01-13,17.1,5,1,1
54,24,4,63,43,43,20,20,316251,10626,2009-01-12,17.1,1,1,1
58,17,3,72,55,52,17,20,30856,680,2009-01-20,17.1,3,1,1
43,20,4,54,37,35,17,19,123410,4845,2009-01-20,17.1,3,1,1
48,22,4,57,40,35,17,22,194580,7315,2009-01-05,17.1,1,1,1
51,24,4,51,34,34,17,17,249900,10626,2009-01-22,17.1,4,1,1
28,17,5,44,27,20,17,24,98280,6188,2009-01-20,17.1,3,1,1
35,20,5,54,37,27,17,27,324632,15504,2009-01-22,17.1,3,1,1
37,22,5,44,27,21,17,23,435897,26334,2009-02-04,17.1,3,1,1
42,24,5,54,37,27,17,27,850668,42504,2009-01-07,17.1,2,1,1
33,20,5,43,27,20,16,23,237336,15504,2009-01-05,17.1,3,1,1
35,21,5,43,27,20,16,23,324632,20349,2009-02-04,17.1,4,1,1
39,23,5,44,28,24,16,20,575757,33649,2009-02-03,17.1,2,1,1
49,14,3,78,63,53,15,25,18424,364,2009-01-12,17.1,3,1,1
54,16,3,69,54,51,15,18,24804,560,2009-01-21,17.1,2,1,1
59,17,3,74,59,53,15,21,32509,680,2009-01-21,17.1,5,1,1
33,15,4,57,42,42,15,15,40920,1365,2009-01-12,17.1,3,1,1
31,19,5,40,25,20,15,20,169911,11628,2009-01-07,17.1,3,1,1
34,21,5,40,25,20,15,20,278256,20349,2009-02-04,17.1,2,1,1
37,21,5,54,39,27,15,27,435897,20349,2009-01-22,17.1,2,1,1
38,23,5,42,27,20,15,22,501942,33649,2009-02-04,17.1,3,1,1
40,24,5,42,27,20,15,22,658008,42504,2009-01-21,17.1,2,1,1
50,15,3,68,54,47,14,21,19600,455,2009-01-07,17.1,1,1,1
44,20,4,54,40,36,14,18,135751,4845,2009-01-13,17.1,3,1,1
52,24,4,51,37,35,14,16,270725,10626,2009-01-21,17.1,3,1,1
29,17,5,49,35,24,14,25,118755,6188,2009-01-07,17.1,3,1,1
35,22,5,38,24,20,14,18,324632,26334,2009-02-05,17.1,2,1,1
36,22,5,40,26,20,14,20,376992,26334,2009-02-03,17.1,2,1,1
39,24,5,39,25,20,14,19,575757,42504,2009-02-08,17.1,2,1,1
52,12,3,130,117,104,13,26,22100,220,2009-01-21,17.1,5,1,1
51,15,3,68,55,51,13,17,20825,455,2009-01-05,17.1,1,1,1
34,15,4,63,50,44,13,19,46376,1365,2009-01-12,17.1,5,1,1
30,19,5,37,24,19,13,18,142506,11628,2009-02-04,17.1,5,1,1
37,23,5,38,25,20,13,18,435897,33649,2009-02-07,17.1,3,1,1
38,24,5,37,24,19,13,18,501942,42504,2009-01-21,17.1,2,1,1
36,20,5,54,42,27,12,27,376992,15504,2009-01-21,17.1,1,1,1
38,22,5,49,37,26,12,23,501942,26334,2009-01-21,17.1,1,1,1
36,23,5,36,24,19,12,17,376992,33649,2009-02-03,17.1,2,1,1
41,13,3,56,45,45,11,11,10660,286,2009-01-20,17.1,2,1,1
35,15,4,70,59,47,11,23,52360,1365,2009-01-05,17.1,4,1,1
34,20,5,45,34,24,11,21,278256,15504,2009-02-08,17.1,4,1,1
45,13,3,73,63,52,10,21,14190,286,2009-01-11,17.1,1,1,1
56,16,3,73,63,53,10,20,27720,560,2009-01-07,17.1,1,1,1
32,20,5,34,24,20,10,14,201376,15504,2009-01-21,17.1,4,1,1
