# size 620
1 2 3 4 5 6 7 8
3 4 5 6 25 26 31 32
3 4 5 6 27 28 29 30
3 4 7 8 9 10 13 14
3 4 7 8 11 12 15 16
3 4 7 8 17 18 21 22
3 4 7 8 19 20 23 24
3 4 7 8 25 26 29 30
3 4 7 8 27 28 31 32
3 4 9 10 17 18 27 28
3 4 9 10 19 20 25 26
3 4 9 10 21 22 31 32
3 4 9 10 23 24 29 30
3 4 11 12 17 18 25 26
3 4 11 12 19 20 27 28
3 4 11 12 21 22 29 30
3 4 11 12 23 24 31 32
3 4 13 14 17 18 31 32
3 4 13 14 19 20 29 30
3 4 13 14 21 22 27 28
3 4 13 14 23 24 25 26
3 4 15 16 17 18 29 30
3 4 15 16 19 20 31 32
3 4 15 16 21 22 25 26
3 4 15 16 23 24 27 28
3 5 9 15 17 23 27 29
3 5 9 15 18 24 28 30
3 5 9 15 19 21 25 31
3 5 9 15 20 22 26 32
3 5 10 16 17 23 28 30
3 5 10 16 18 24 27 29
3 5 10 16 19 21 26 32
3 5 10 16 20 22 25 31
3 5 11 13 17 23 25 31
3 5 11 13 18 24 26 32
3 5 11 13 19 21 27 29
3 5 11 13 20 22 28 30
3 5 12 14 17 23 26 32
3 5 12 14 18 24 25 31
3 5 12 14 19 21 28 30
3 5 12 14 20 22 27 29
3 6 9 16 17 24 27 30
3 6 9 16 18 23 28 29
3 6 9 16 19 22 25 32
3 6 9 16 20 21 26 31
3 6 10 15 17 24 28 29
3 6 10 15 18 23 27 30
3 6 10 15 19 22 26 31
3 6 10 15 20 21 25 32
3 6 11 14 17 24 25 32
3 6 11 14 18 23 26 31
3 6 11 14 19 22 27 30
3 6 11 14 20 21 28 29
3 6 12 13 17 24 26 31
3 6 12 13 18 23 25 32
3 6 12 13 19 22 28 29
3 6 12 13 20 21 27 30
3 7 9 13 17 21 27 31
3 7 9 13 18 22 28 32
3 7 9 13 19 23 25 29
3 7 9 13 20 24 26 30
3 7 10 14 17 21 28 32
3 7 10 14 18 22 27 31
3 7 10 14 19 23 26 30
3 7 10 14 20 24 25 29
3 7 11 15 17 21 25 29
3 7 11 15 18 22 26 30
3 7 11 15 19 23 27 31
3 7 11 15 20 24 28 32
3 7 12 16 17 21 26 30
3 7 12 16 18 22 25 29
3 7 12 16 19 23 28 32
3 7 12 16 20 24 27 31
3 8 9 14 17 22 27 32
3 8 9 14 18 21 28 31
3 8 9 14 19 24 25 30
3 8 9 14 20 23 26 29
3 8 10 13 17 22 28 31
3 8 10 13 18 21 27 32
3 8 10 13 19 24 26 29
3 8 10 13 20 23 25 30
3 8 11 16 17 22 25 30
3 8 11 16 18 21 26 29
3 8 11 16 19 24 27 32
3 8 11 16 20 23 28 31
3 8 12 15 17 22 26 29
3 8 12 15 18 21 25 30
3 8 12 15 19 24 28 31
3 8 12 15 20 23 27 32
4 5 9 16 17 24 28 29
4 5 9 16 18 23 27 30
4 5 9 16 19 22 26 31
4 5 9 16 20 21 25 32
4 5 10 15 17 24 27 30
4 5 10 15 18 23 28 29
4 5 10 15 19 22 25 32
4 5 10 15 20 21 26 31
4 5 11 14 17 24 26 31
4 5 11 14 18 23 25 32
4 5 11 14 19 22 28 29
4 5 11 14 20 21 27 30
4 5 12 13 17 24 25 32
4 5 12 13 18 23 26 31
4 5 12 13 19 22 27 30
4 5 12 13 20 21 28 29
4 6 9 15 17 23 28 30
4 6 9 15 18 24 27 29
4 6 9 15 19 21 26 32
4 6 9 15 20 22 25 31
4 6 10 16 17 23 27 29
4 6 10 16 18 24 28 30
4 6 10 16 19 21 25 31
4 6 10 16 20 22 26 32
4 6 11 13 17 23 26 32
4 6 11 13 18 24 25 31
4 6 11 13 19 21 28 30
4 6 11 13 20 22 27 29
4 6 12 14 17 23 25 31
4 6 12 14 18 24 26 32
4 6 12 14 19 21 27 29
4 6 12 14 20 22 28 30
4 7 9 14 17 22 28 31
4 7 9 14 18 21 27 32
4 7 9 14 19 24 26 29
4 7 9 14 20 23 25 30
4 7 10 13 17 22 27 32
4 7 10 13 18 21 28 31
4 7 10 13 19 24 25 30
4 7 10 13 20 23 26 29
4 7 11 16 17 22 26 29
4 7 11 16 18 21 25 30
4 7 11 16 19 24 28 31
4 7 11 16 20 23 27 32
4 7 12 15 17 22 25 30
4 7 12 15 18 21 26 29
4 7 12 15 19 24 27 32
4 7 12 15 20 23 28 31
4 8 9 13 17 21 28 32
4 8 9 13 18 22 27 31
4 8 9 13 19 23 26 30
4 8 9 13 20 24 25 29
4 8 10 14 17 21 27 31
4 8 10 14 18 22 28 32
4 8 10 14 19 23 25 29
4 8 10 14 20 24 26 30
4 8 11 15 17 21 26 30
4 8 11 15 18 22 25 29
4 8 11 15 19 23 28 32
4 8 11 15 20 24 27 31
4 8 12 16 17 21 25 29
4 8 12 16 18 22 26 30
4 8 12 16 19 23 27 31
4 8 12 16 20 24 28 32
5 6 7 8 9 10 11 12
5 6 7 8 13 14 15 16
5 6 7 8 17 18 19 20
5 6 7 8 21 22 23 24
5 6 7 8 25 26 27 28
5 6 7 8 29 30 31 32
5 6 9 10 17 18 29 30
5 6 9 10 19 20 31 32
5 6 9 10 21 22 25 26
5 6 9 10 23 24 27 28
5 6 11 12 17 18 31 32
5 6 11 12 19 20 29 30
5 6 11 12 21 22 27 28
5 6 11 12 23 24 25 26
5 6 13 14 17 18 25 26
5 6 13 14 19 20 27 28
5 6 13 14 21 22 29 30
5 6 13 14 23 24 31 32
5 6 15 16 17 18 27 28
5 6 15 16 19 20 25 26
5 6 15 16 21 22 31 32
5 6 15 16 23 24 29 30
5 7 9 11 17 19 29 31
5 7 9 11 18 20 30 32
5 7 9 11 21 23 25 27
5 7 9 11 22 24 26 28
5 7 10 12 17 19 30 32
5 7 10 12 18 20 29 31
5 7 10 12 21 23 26 28
5 7 10 12 22 24 25 27
5 7 13 15 17 19 25 27
5 7 13 15 18 20 26 28
5 7 13 15 21 23 29 31
5 7 13 15 22 24 30 32
5 7 14 16 17 19 26 28
5 7 14 16 18 20 25 27
5 7 14 16 21 23 30 32
5 7 14 16 22 24 29 31
5 8 9 12 17 20 29 32
5 8 9 12 18 19 30 31
5 8 9 12 21 24 25 28
5 8 9 12 22 23 26 27
5 8 10 11 17 20 30 31
5 8 10 11 18 19 29 32
5 8 10 11 21 24 26 27
5 8 10 11 22 23 25 28
5 8 13 16 17 20 25 28
5 8 13 16 18 19 26 27
5 8 13 16 21 24 29 32
5 8 13 16 22 23 30 31
5 8 14 15 17 20 26 27
5 8 14 15 18 19 25 28
5 8 14 15 21 24 30 31
5 8 14 15 22 23 29 32
6 7 9 12 17 20 30 31
6 7 9 12 18 19 29 32
6 7 9 12 21 24 26 27
6 7 9 12 22 23 25 28
6 7 10 11 17 20 29 32
6 7 10 11 18 19 30 31
6 7 10 11 21 24 25 28
6 7 10 11 22 23 26 27
6 7 13 16 17 20 26 27
6 7 13 16 18 19 25 28
6 7 13 16 21 24 30 31
6 7 13 16 22 23 29 32
6 7 14 15 17 20 25 28
6 7 14 15 18 19 26 27
6 7 14 15 21 24 29 32
6 7 14 15 22 23 30 31
6 8 9 11 17 19 30 32
6 8 9 11 18 20 29 31
6 8 9 11 21 23 26 28
6 8 9 11 22 24 25 27
6 8 10 12 17 19 29 31
6 8 10 12 18 20 30 32
6 8 10 12 21 23 25 27
6 8 10 12 22 24 26 28
6 8 13 15 17 19 26 28
6 8 13 15 18 20 25 27
6 8 13 15 21 23 30 32
6 8 13 15 22 24 29 31
6 8 14 16 17 19 25 27
6 8 14 16 18 20 26 28
6 8 14 16 21 23 29 31
6 8 14 16 22 24 30 32
7 8 9 10 17 18 31 32
7 8 9 10 19 20 29 30
7 8 9 10 21 22 27 28
7 8 9 10 23 24 25 26
7 8 11 12 17 18 29 30
7 8 11 12 19 20 31 32
7 8 11 12 21 22 25 26
7 8 11 12 23 24 27 28
7 8 13 14 17 18 27 28
7 8 13 14 19 20 25 26
7 8 13 14 21 22 31 32
7 8 13 14 23 24 29 30
7 8 15 16 17 18 25 26
7 8 15 16 19 20 27 28
7 8 15 16 21 22 29 30
7 8 15 16 23 24 31 32
9 10 11 12 13 14 15 16
9 10 11 12 17 18 19 20
9 10 11 12 21 22 23 24
9 10 11 12 25 26 27 28
9 10 11 12 29 30 31 32
9 10 13 14 17 18 21 22
9 10 13 14 19 20 23 24
9 10 13 14 25 26 29 30
9 10 13 14 27 28 31 32
9 10 15 16 17 18 23 24
9 10 15 16 19 20 21 22
9 10 15 16 25 26 31 32
9 10 15 16 27 28 29 30
9 11 13 15 17 19 21 23
9 11 13 15 18 20 22 24
9 11 13 15 25 27 29 31
9 11 13 15 26 28 30 32
9 11 14 16 17 19 22 24
9 11 14 16 18 20 21 23
9 11 14 16 25 27 30 32
9 11 14 16 26 28 29 31
9 12 13 16 17 20 21 24
9 12 13 16 18 19 22 23
9 12 13 16 25 28 29 32
9 12 13 16 26 27 30 31
9 12 14 15 17 20 22 23
9 12 14 15 18 19 21 24
9 12 14 15 25 28 30 31
9 12 14 15 26 27 29 32
10 11 13 16 17 20 22 23
10 11 13 16 18 19 21 24
10 11 13 16 25 28 30 31
10 11 13 16 26 27 29 32
10 11 14 15 17 20 21 24
10 11 14 15 18 19 22 23
10 11 14 15 25 28 29 32
10 11 14 15 26 27 30 31
10 12 13 15 17 19 22 24
10 12 13 15 18 20 21 23
10 12 13 15 25 27 30 32
10 12 13 15 26 28 29 31
10 12 14 16 17 19 21 23
10 12 14 16 18 20 22 24
10 12 14 16 25 27 29 31
10 12 14 16 26 28 30 32
11 12 13 14 17 18 23 24
11 12 13 14 19 20 21 22
11 12 13 14 25 26 31 32
11 12 13 14 27 28 29 30
11 12 15 16 17 18 21 22
11 12 15 16 19 20 23 24
11 12 15 16 25 26 29 30
11 12 15 16 27 28 31 32
13 14 15 16 17 18 19 20
13 14 15 16 21 22 23 24
13 14 15 16 25 26 27 28
13 14 15 16 29 30 31 32
17 18 19 20 21 22 23 24
17 18 19 20 25 26 27 28
17 18 19 20 29 30 31 32
17 18 21 22 25 26 29 30
17 18 21 22 27 28 31 32
17 18 23 24 25 26 31 32
17 18 23 24 27 28 29 30
17 19 21 23 25 27 29 31
17 19 21 23 26 28 30 32
17 19 22 24 25 27 30 32
17 19 22 24 26 28 29 31
17 20 21 24 25 28 29 32
17 20 21 24 26 27 30 31
17 20 22 23 25 28 30 31
17 20 22 23 26 27 29 32
18 19 21 24 25 28 30 31
18 19 21 24 26 27 29 32
18 19 22 23 25 28 29 32
18 19 22 23 26 27 30 31
18 20 21 23 25 27 30 32
18 20 21 23 26 28 29 31
18 20 22 24 25 27 29 31
18 20 22 24 26 28 30 32
19 20 21 22 25 26 31 32
19 20 21 22 27 28 29 30
19 20 23 24 25 26 29 30
19 20 23 24 27 28 31 32
21 22 23 24 25 26 27 28
21 22 23 24 29 30 31 32
25 26 27 28 29 30 31 32
